302,16235,BIBITE,caffe,bevande,2,400,8,"tazza caffe americano"
302,16236,BIBITE,"lattina coca cola",bibita,0,330,0,"calorie zero"
302,16237,BIBITE,limonata,bevande,1,2000,20,
302,16238,BIBITE,"te verde",bevande,2,0,0,
302,16239,CARNE,insaccato,"proteine animali",144,0,0,salumi
302,16240,CARNE,"prosciutto cotto","proteine animali",132,0,0,
302,16241,CARNE,salame,"proteine animali",144,0,0,
302,16242,CARNE,"uovo sodo","proteine animali",80,48,39,"1 uovo"
302,16243,"CARNE BIANCA","petti di pollo","proteine animali",110,250,275,"1 petto pollo"
302,16244,"CARNE PESCE","pate salmone","proteine animali",190,100,190,barattolino
302,16245,"CARNE PESCE","pesce merluzzo","proteine animali",127,0,300,"2 porzioni merluzzo"
302,16246,"CARNE PESCE",sardine,"proteine animali",167,0,200,
302,16247,"CARNE PESCE","tonno in pezzi","proteine animali",109,0,110,
302,16248,"CARNE ROSSA","braciole maiale","proteine animali",110,100,110,"1 braciola"
302,16249,CEREALI,baguette,cereali,281,0,0,
302,16250,CEREALI,"fiocchi avena",fibre,367,12,44,"1 cucchiaio, +HDL, -LDL, -grassi nel sangue"
302,16251,CEREALI,mais,cereali,88,118,103,
302,16252,CEREALI,noudle,carboidrati,150,50,75,"to check"
302,16253,CEREALI,orzo,cereali,0,0,0,
302,16254,CEREALI,"pane integrale",cereali,230,38,87,"1 fetta"
302,16255,CEREALI,"pasta integrale cotta",cereali,143,50,72,
302,16256,CEREALI,"pizza margherita",cereali,271,0,0,
302,16257,CEREALI,"riso bianco cotto",cereali,100,50,50,
302,16258,CEREALI,"riso integrale",cereali,119,50,60,"mezza tazza"
302,16259,CEREALI,"riso integrale cotto",cereali,119,60,74,
302,16260,FRUTTA,albicocche,vitamine,50,72,36,"1 albicocca"
302,16261,FRUTTA,amarene,vitamine,30,0,0,
302,16262,FRUTTA,ananas,vitamine,55,0,0,
302,16263,FRUTTA,anguria,vitamine,30,0,0,
302,16264,FRUTTA,arancia,vitamine,45,0,0,
302,16265,FRUTTA,banane,vitamine,90,100,90,"frutta due volte al giorno"
302,16266,FRUTTA,cachi,vitamine,65,0,0,
302,16267,FRUTTA,ciliege,vitamine,70,0,0,
302,16268,FRUTTA,fragole,vitamine,35,0,0,
302,16269,FRUTTA,lamponi,vitamine,40,0,0,antiossidanti
302,16270,FRUTTA,limone,vitamine,30,0,0,"accellera metabolismo"
302,16271,FRUTTA,mandarini,vitamine,45,0,0,
302,16272,FRUTTA,"marmellata fragole",vitamine,247,33,81,"1 cucchiaio"
302,16273,FRUTTA,mela,vitamine,0,0,0,
302,16274,FRUTTA,melone,vitamine,50,0,0,
302,16275,FRUTTA,mirtilli,vitamine,0,0,0,"antiossidanti, circolazione sanguigna migliore"
302,16276,FRUTTA,more,vitamine,55,0,0,
302,16277,FRUTTA,pere,vitamine,50,0,0,
